ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2008-05-03,4742.121729585733,3913.5808886637337,5351.648862207655,4742.121729585733,4742.121729585733,-119.2622105385236,-119.2622105385236,-119.2622105385236,-1.4743906940712839,-1.4743906940712839,-1.4743906940712839,-117.78781984445233,-117.78781984445233,-117.78781984445233,0.0,0.0,0.0,4622.85951904721
2008-05-04,4734.804807232221,3839.230102634443,5302.79568485277,4734.804807232221,4734.804807232221,-131.32390629389027,-131.32390629389027,-131.32390629389027,-3.926550138135554,-3.926550138135554,-3.926550138135554,-127.39735615575471,-127.39735615575471,-127.39735615575471,0.0,0.0,0.0,4603.480900938331
2008-05-05,4727.487884878708,3905.1416687402507,5344.960769509296,4727.487884878708,4727.487884878708,-143.21031050705693,-143.21031050705693,-143.21031050705693,-6.8238135860372084,-6.8238135860372084,-6.8238135860372084,-136.38649692101973,-136.38649692101973,-136.38649692101973,0.0,0.0,0.0,4584.277574371651
2008-05-06,4720.170962525195,3832.4338454982926,5352.911695624005,4720.170962525195,4720.170962525195,-142.41156147514369,-142.41156147514369,-142.41156147514369,2.1662857770040542,2.1662857770040542,2.1662857770040542,-144.57784725214776,-144.57784725214776,-144.57784725214776,0.0,0.0,0.0,4577.759401050052
2008-05-07,4712.854040171683,3814.9155492370846,5285.197473084697,4712.854040171683,4712.854040171683,-146.45851686956243,-146.45851686956243,-146.45851686956243,5.349178819310831,5.349178819310831,5.349178819310831,-151.80769568887325,-151.80769568887325,-151.80769568887325,0.0,0.0,0.0,4566.395523302121
2008-05-08,4705.53711781817,3834.773783989375,5249.572838953196,4705.53711781817,4705.53711781817,-156.0688873084143,-156.0688873084143,-156.0688873084143,1.8606069677520338,1.8606069677520338,1.8606069677520338,-157.92949427616634,-157.92949427616634,-157.92949427616634,0.0,0.0,0.0,4549.468230509756
2008-05-09,4698.220195464658,3813.905660768254,5275.391713396235,4698.220195464658,4698.220195464658,-159.96834529301154,-159.96834529301154,-159.96834529301154,2.8486828541836817,2.8486828541836817,2.8486828541836817,-162.8170281471952,-162.8170281471952,-162.8170281471952,0.0,0.0,0.0,4538.251850171647
2008-05-10,4690.903273111145,3763.0657485905463,5250.827626835651,4690.903273111145,4690.903273111145,-167.8415876279446,-167.8415876279446,-167.8415876279446,-1.4743906940761802,-1.4743906940761802,-1.4743906940761802,-166.3671969338684,-166.3671969338684,-166.3671969338684,0.0,0.0,0.0,4523.061685483201
2008-05-11,4683.586350757632,3763.530997787733,5250.542280517976,4683.586350757632,4683.586350757632,-172.42888832416918,-172.42888832416918,-172.42888832416918,-3.9265501381335084,-3.9265501381335084,-3.9265501381335084,-168.50233818603573,-168.50233818603573,-168.50233818603573,0.0,0.0,0.0,4511.1574624334635
2008-05-12,4676.26942840412,3724.1683839572747,5221.999244070804,4676.26942840412,4676.26942840412,-175.9958463253847,-175.9958463253847,-175.9958463253847,-6.823813586039587,-6.823813586039587,-6.823813586039587,-169.17203273934507,-169.17203273934507,-169.17203273934507,0.0,0.0,0.0,4500.273582078736
2008-05-13,4668.952506050608,3789.2674310783646,5253.668208374244,4668.952506050608,4668.952506050608,-166.18805762984908,-166.18805762984908,-166.18805762984908,2.166285777007172,2.166285777007172,2.166285777007172,-168.35434340685626,-168.35434340685626,-168.35434340685626,0.0,0.0,0.0,4502.7644484207585
2008-05-14,4661.635583697094,3815.766847692003,5163.179622977296,4661.635583697094,4661.635583697094,-160.70727238702926,-160.70727238702926,-160.70727238702926,5.349178819301829,5.349178819301829,5.349178819301829,-166.0564512063311,-166.0564512063311,-166.0564512063311,0.0,0.0,0.0,4500.928311310065
2008-05-15,4654.318661343582,3782.2100322836986,5250.547488288705,4654.318661343582,4654.318661343582,-160.45406029292,-160.45406029292,-160.45406029292,1.860606967757417,1.860606967757417,1.860606967757417,-162.31466726067742,-162.31466726067742,-162.31466726067742,0.0,0.0,0.0,4493.864601050662
2008-05-16,4647.0017389900695,3753.4154164164884,5226.89990030972,4647.0017389900695,4647.0017389900695,-154.34513031914,-154.34513031914,-154.34513031914,2.8486828541850655,2.8486828541850655,2.8486828541850655,-157.19381317332505,-157.19381317332505,-157.19381317332505,0.0,0.0,0.0,4492.65660867093
2008-05-17,4639.684816636557,3718.569491190945,5187.963034638896,4639.684816636557,4639.684816636557,-152.26036840631463,-152.26036840631463,-152.26036840631463,-1.474390694069737,-1.474390694069737,-1.474390694069737,-150.7859777122449,-150.7859777122449,-150.7859777122449,0.0,0.0,0.0,4487.424448230243
2008-05-18,4632.367894283045,3748.4905537256504,5218.24338611147,4632.367894283045,4632.367894283045,-147.13522278651448,-147.13522278651448,-147.13522278651448,-3.9265501381344308,-3.9265501381344308,-3.9265501381344308,-143.20867264838006,-143.20867264838006,-143.20867264838006,0.0,0.0,0.0,4485.23267149653
2008-05-19,4625.050971929531,3732.45852990229,5195.429578541296,4625.050971929531,4625.050971929531,-141.4262387820891,-141.4262387820891,-141.4262387820891,-6.823813586034367,-6.823813586034367,-6.823813586034367,-134.60242519605472,-134.60242519605472,-134.60242519605472,0.0,0.0,0.0,4483.624733147442
2008-05-20,4617.73404957602,3776.299159394529,5221.30419452521,4617.73404957602,4617.73404957602,-122.96157253503223,-122.96157253503223,-122.96157253503223,2.1662857770102906,2.1662857770102906,2.1662857770102906,-125.12785831204252,-125.12785831204252,-125.12785831204252,0.0,0.0,0.0,4494.772477040988
